GeneralAdvice+运动++,GeneralAdvice+治疗++	GeneralExplanation+问题++,GeneralExplanation+问题++
I+Advice+治疗+用药（治疗）频率	I+Advice+治疗+用药（治疗）频率	
I+Advice+治疗+检查项	O	
I+Advice+治疗+检查项	O	
I+Advice+治疗+检查项	O	
I+Advice+治疗+检查项	O	


Chitchat+++	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


Accept+++	Accept+++
O	O	
O	O	
O	O	


Assure+++	Assure+++
O	O	
O	O	
O	O	


GeneralExplanation+问题++	GeneralExplanation+问题++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


AskFor+饮食+饮食名+?,AskFor+运动+运动名+?	AskFor+饮食+饮食名+?,AskFor+运动+运动名+?
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


Chitchat+++	AskFor+问题+血糖值+?
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+AskFor+问题+时间	
O	I+AskFor+问题+时间	
O	I+AskFor+问题+时间	
O	I+AskFor+问题+时间	
O	I+AskFor+问题+时间	
O	I+AskFor+问题+时间	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+血糖值	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	


none	AskFor+饮食+饮食名+?
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+运动+时间	B+AskForSure+问题+时间	
I+AskForSure+运动+时间	I+AskForSure+问题+时间	
O	O	
O	O	
O	O	
I+AskForSure+行为+行为名	B+AskForSure+行为+行为名	
I+AskForSure+行为+行为名	I+AskForSure+行为+行为名	


none	none
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
O	I+Inform+问题+血糖值	
B+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	B+Inform+问题+持续时长	
B+Inform+问题+时间	I+Inform+问题+持续时长	
I+Inform+问题+时间	I+Inform+问题+持续时长	
O	O	
O	O	
O	O	
O	O	


AskFor+问题+血糖值+?	AskFor+问题+血糖值+?
O	O	
B+AskFor+问题+时间	B+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	B+Inform+问题+血糖值	


none	none
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	O	
O	O	


AskFor+问题+血糖值+?	AskFor+问题+血糖值+?
B+AskFor+问题+时间	B+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


AskFor+治疗+药品+?	Assure+++,AskFor+治疗+药品+?
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
B+Explanation+治疗+药品	B+Inform+治疗+药品	
I+Explanation+治疗+药品	I+Inform+治疗+药品	
I+Explanation+治疗+药品	I+Inform+治疗+药品	
I+Explanation+治疗+药品	I+Inform+治疗+药品	
I+Explanation+治疗+药品	I+Inform+治疗+药品	
O	O	
O	O	
O	O	
O	O	
O	O	


none	Assure+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


AskFor+问题+血糖值+?	AskFor+问题+血糖值+?
B+AskFor+问题+时间	B+AskFor+问题+时间	
I+AskFor+问题+时间	I+AskFor+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
B+AskForSure+运动+运动名	B+Inform+运动+运动名	
I+AskForSure+运动+运动名	I+Inform+运动+运动名	


Assure+++	Assure+++
O	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Explanation+运动+强度	
O	I+Explanation+运动+强度	
O	O	
O	O	
O	O	
O	O	
B+Advice+行为+行为名	B+Advice+运动+运动名	
I+Advice+行为+行为名	I+Advice+运动+运动名	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
O	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
B+Advice+治疗+药品	B+Advice+治疗+用药量	
I+Advice+治疗+药品	I+Advice+治疗+用药量	
O	B+Advice+治疗+药品	
O	I+Advice+治疗+药品	
O	I+Advice+治疗+药品	


none	Assure+++
O	O	
I+Inform+问题+时间	O	
I+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	O	
I+Inform+问题+时间	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	


none	none
O	O	
B+Inform+问题+时间	O	
I+Inform+问题+时间	O	
I+Inform+问题+时间	O	
I+Inform+问题+时间	O	
I+Inform+问题+时间	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+行为+行为名	O	
I+AskForSure+行为+行为名	O	
I+AskForSure+行为+行为名	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+治疗+药品类型	B+Advice+治疗+药品类型	
I+Advice+治疗+药品类型	I+Advice+治疗+药品类型	
I+Advice+治疗+药品类型	I+Advice+治疗+药品类型	
I+Advice+治疗+药品类型	I+Advice+治疗+药品类型	
I+Advice+行为+行为名	I+Advice+治疗+药品类型	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+治疗+药品	B+Inform+治疗+药品	
I+Inform+治疗+治疗名	I+Inform+治疗+药品	
I+Inform+治疗+治疗名	I+Inform+治疗+药品	


AskFor+治疗+药品+?	AskFor+治疗+药品+?
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+疾病	B+Inform+问题+疾病	
I+Inform+问题+疾病	I+Inform+问题+疾病	
I+Inform+问题+疾病	I+Inform+问题+疾病	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+疾病	B+AskForSure+问题+疾病	
I+Inform+问题+疾病	I+AskForSure+问题+疾病	
I+Inform+问题+疾病	I+AskForSure+问题+疾病	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+疾病	B+AskForSure+问题+疾病	
I+Inform+问题+疾病	I+AskForSure+问题+疾病	
I+Inform+问题+疾病	I+AskForSure+问题+疾病	


AskFor+治疗+药品+?	AskFor+治疗+药品+?
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none,AskFor+问题+疾病+?	AskFor+问题+疾病+?
O	O	
O	O	
B+AskForSure+问题+疾病	O	
I+AskForSure+问题+疾病	O	
I+AskForSure+问题+疾病	O	
I+AskForSure+问题+疾病	O	
I+AskForSure+问题+疾病	O	


	none
O	O	
O	O	
O	B+Explanation+问题+血糖值	
O	B+Explanation+问题+症状	
I+Inform+问题+血糖值	I+Explanation+问题+症状	
I+Inform+问题+血糖值	I+Explanation+问题+症状	


none	none
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	


none	none
O	O	
O	O	
B+Inform+问题+疾病	B+Inform+问题+疾病	
I+Inform+问题+疾病	I+Inform+问题+疾病	
I+Inform+问题+疾病	I+Inform+问题+疾病	


	none
O	B+Inform+治疗+药品	
O	I+Inform+治疗+药品	
O	I+Inform+治疗+药品	
B+Inform+行为+行为名	I+Inform+治疗+药品	
I+Inform+行为+行为名	I+Inform+治疗+药品	


none	none
B+Inform+问题+疾病	B+Inform+问题+疾病	
I+Inform+问题+疾病	I+Inform+问题+疾病	


Chitchat+++	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Explanation+饮食+时间	B+Explanation+行为+时间	
I+Explanation+饮食+时间	I+Explanation+行为+时间	
O	B+Explanation+行为+行为名	
B+Advice+饮食+饮食名	I+Explanation+行为+行为名	
I+Advice+饮食+饮食量	I+Explanation+行为+行为名	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Advice+行为+时间	


none	Assure+++
B+Explanation+治疗+药品	B+Advice+饮食+饮食名	
I+Explanation+治疗+药品	I+Advice+饮食+饮食名	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+治疗+用药量	B+Advice+饮食+时间	
O	I+Advice+饮食+时间	
O	I+Advice+饮食+时间	
O	I+Advice+饮食+时间	
O	O	
O	O	
B+Advice+治疗+药品	O	
I+Advice+治疗+药品	O	
I+Advice+治疗+药品	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+疾病	B+AskForSure+问题+疾病	
I+AskForSure+问题+疾病	I+AskForSure+问题+疾病	
O	O	
O	O	
O	O	
O	O	
O	B+AskForSure+问题+时间	
O	I+AskForSure+问题+时间	
O	O	
O	O	
O	O	
B+AskForSure+治疗+药品	B+AskForSure+治疗+药品	
I+AskForSure+治疗+药品	I+AskForSure+治疗+药品	
I+AskForSure+治疗+药品	I+AskForSure+治疗+药品	
O	O	
B+AskForSure+治疗+效果	B+AskForSure+行为+行为名	
I+AskForSure+治疗+效果	I+AskForSure+行为+行为名	
I+AskForSure+治疗+效果	I+AskForSure+行为+行为名	
O	O	
B+AskForSure+治疗+效果	B+AskForSure+行为+行为名	
I+AskForSure+治疗+效果	I+AskForSure+行为+行为名	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+AskForSure+治疗+效果	
O	I+AskForSure+治疗+效果	
O	I+AskForSure+治疗+效果	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+时间	O	
I+AskForSure+问题+时间	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+症状	B+AskForSure+问题+症状	
I+AskForSure+问题+症状	I+AskForSure+问题+症状	
I+AskForSure+问题+症状	I+AskForSure+问题+症状	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+症状	B+AskForSure+问题+症状	
I+AskForSure+问题+症状	I+AskForSure+问题+症状	
I+AskForSure+问题+症状	I+AskForSure+问题+症状	
O	O	
O	O	
O	O	
O	O	
O	B+Inform+问题+时间	
O	I+Inform+问题+时间	
O	I+Inform+问题+时间	
O	O	
O	O	
O	O	
O	B+Inform+问题+血糖值	
O	I+Inform+问题+血糖值	
O	I+Inform+问题+血糖值	


none	Deny+++
O	O	
B+Inform+基本信息+年龄	B+Inform+基本信息+年龄	
I+Inform+基本信息+年龄	I+Inform+基本信息+年龄	
I+Inform+基本信息+年龄	I+Inform+基本信息+年龄	
O	O	
B+Inform+问题+时间	B+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
B+Inform+问题+时间	I+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
I+Inform+问题+时间	O	
O	O	
O	B+Inform+行为+行为名	
B+Inform+饮食+饮食名	I+Inform+行为+行为名	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+疾病	B+Inform+问题+疾病	
O	O	
O	O	
B+Inform+问题+持续时长	B+Inform+问题+持续时长	
I+Inform+问题+持续时长	I+Inform+问题+持续时长	
O	O	


GeneralExplanation+问题++	none
O	B+Explanation+问题+疾病	
O	I+Explanation+问题+疾病	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Explanation+行为+行为名	
O	I+Explanation+行为+行为名	
O	I+Explanation+行为+行为名	
O	I+Explanation+行为+行为名	
O	I+Explanation+行为+行为名	
O	O	
O	O	
O	O	
O	B+Explanation+问题+症状	
O	I+Explanation+问题+症状	
O	I+Explanation+问题+症状	
O	O	
O	O	
O	O	
O	O	
O	O	


Chitchat+++	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Inform+问题+血糖值	
O	I+Inform+问题+血糖值	
O	I+Inform+问题+血糖值	
O	I+Inform+问题+血糖值	
O	I+Inform+问题+血糖值	
O	I+Inform+问题+血糖值	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


AskFor+基本信息+年龄+?	AskFor+基本信息+年龄+?
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+时间	B+AskForSure+行为+时间	
I+AskForSure+饮食+时间	I+AskForSure+行为+时间	
O	B+AskForSure+行为+行为名	
O	I+AskForSure+行为+行为名	
I+AskForSure+饮食+饮食量	O	
I+AskForSure+饮食+饮食量	O	
O	O	
O	B+AskForSure+问题+时间	
O	I+AskForSure+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	


none	Assure+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
I+Explanation+问题+血糖值	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+饮食+饮食量	B+Advice+饮食+饮食量	
I+Advice+行为+行为名	I+Advice+饮食+饮食量	


	none
O	O	
O	O	
O	O	
B+AskFor+问题+时间	B+Inform+饮食+时间	
I+AskFor+问题+时间	I+Inform+饮食+时间	
O	I+AskForSure+问题+症状	
O	I+AskForSure+问题+症状	
O	I+AskForSure+问题+症状	
O	B+Inform+饮食+饮食量	
I+AskForSure+治疗+用药量	I+Inform+饮食+饮食量	
B+AskForSure+治疗+药品	B+Inform+饮食+饮食名	
I+AskForSure+治疗+药品	I+Inform+饮食+饮食名	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
B+Explanation+问题+疾病	B+Explanation+问题+疾病	
I+Explanation+问题+疾病	I+Explanation+问题+疾病	
O	B+Explanation+治疗+效果	
O	I+Explanation+治疗+效果	
O	I+Explanation+治疗+效果	
O	I+Explanation+治疗+效果	
O	O	
O	O	
I+Explanation+问题+疾病	O	
O	O	
O	O	
O	O	
O	B+Explanation+治疗+治疗名	
O	I+Explanation+治疗+治疗名	
O	B+Explanation+治疗+药品	
O	I+Explanation+治疗+药品	
O	I+Explanation+治疗+药品	


none	none
O	O	
O	O	
O	O	
B+AskHow+问题+疾病	B+AskHow+问题+疾病	
I+AskHow+问题+疾病	I+AskHow+问题+疾病	
O	I+AskHow+问题+疾病	
B+AskHow+问题+疾病	I+AskHow+问题+疾病	
I+AskHow+问题+疾病	I+AskHow+问题+疾病	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+AskHow+行为+行为名	
O	I+AskHow+行为+行为名	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	B+Advice+治疗+治疗名	
I+Advice+行为+行为名	I+Advice+治疗+治疗名	
I+Advice+行为+行为名	I+Advice+治疗+治疗名	
I+Advice+行为+行为名	I+Advice+治疗+治疗名	


Chitchat+++,Accept+++	Accept+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


Chitchat+++	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	B+AskForSure+行为+行为名	
B+AskForSure+治疗+药品	I+AskForSure+行为+行为名	
I+AskForSure+治疗+适应症	I+AskForSure+行为+行为名	
O	O	
I+AskForSure+治疗+适应症	B+AskForSure+问题+疾病	
I+AskForSure+治疗+适应症	I+AskForSure+问题+疾病	


	Deny+++,GeneralExplanation+饮食++,GeneralExplanation+运动++,GeneralExplanation+治疗++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
